round_idx,kind,cycles
631,valid,59773
632,invalid,59541
633,invalid,59737
634,invalid,59665
635,valid,59774
636,valid,59844
637,valid,60534
638,invalid,59763
639,valid,59764
640,invalid,61920
641,valid,60181
642,valid,59737
643,valid,60210
644,valid,59744
645,valid,59811
646,invalid,59778
647,valid,59727
648,invalid,59738
649,valid,59760
650,valid,60061
651,valid,59977
652,invalid,59814
653,valid,60459
654,invalid,61498
655,valid,60134
656,valid,60855
657,valid,59773
658,valid,59847
659,invalid,60486
660,invalid,59815
661,invalid,59578
662,valid,59835
663,valid,59762
664,invalid,59720
665,invalid,59778
666,valid,60146
667,valid,59493
668,valid,59789
669,invalid,59481
670,valid,59724
671,valid,59743
672,invalid,59758
673,invalid,59782
674,invalid,59820
675,invalid,59526
676,invalid,59762
677,valid,59775
678,invalid,59504
679,invalid,59748
680,invalid,59629
681,valid,61355
682,valid,59744
683,invalid,59974
684,valid,59789
685,invalid,59755
686,invalid,59809
687,invalid,59756
688,invalid,59785
689,invalid,59749
690,valid,59749
691,invalid,59761
692,valid,59798
693,invalid,59500
694,valid,59780
695,invalid,59725
696,valid,59757
697,valid,59753
698,invalid,59789
699,valid,60023
700,valid,59780
701,valid,59762
702,invalid,59754
703,valid,59768
704,invalid,59744
705,invalid,59697
706,invalid,59829
707,invalid,59656
708,invalid,59873
709,valid,59796
710,valid,59565
711,invalid,59745
712,valid,59780
713,valid,59866
714,invalid,59800
715,invalid,59858
716,valid,59781
717,valid,59774
718,valid,59876
719,invalid,59793
720,invalid,60637
721,valid,59789
722,valid,59767
723,invalid,59715
724,invalid,60167
725,valid,60079
726,invalid,59862
727,invalid,62455
728,invalid,59734
729,valid,60352
730,valid,59751
731,valid,59758
732,invalid,59741
733,valid,60506
734,invalid,59741
735,invalid,59759
736,valid,60501
737,invalid,59794
738,invalid,60300
739,invalid,60305
740,invalid,59822
741,valid,59800
742,valid,59739
743,invalid,59762
744,invalid,59639
745,valid,59809
746,valid,61487
747,invalid,60287
748,valid,60223
749,invalid,60225
750,invalid,60157
751,invalid,59969
752,invalid,59822
753,invalid,59766
754,invalid,59776
755,valid,60094
756,valid,59791
757,invalid,59738
758,invalid,59803
759,invalid,60559
760,invalid,59796
761,invalid,59827
762,valid,60549
763,invalid,59679
764,valid,59813
765,invalid,59764
766,valid,60870
767,invalid,59578
768,invalid,61532
769,invalid,60246
770,valid,60215
771,invalid,59756
772,invalid,59754
773,invalid,59738
774,invalid,59843
775,invalid,61076
776,invalid,59659
777,invalid,59780
778,invalid,59754
779,valid,59876
780,valid,59804
781,invalid,59766
782,invalid,59789
783,invalid,59763
784,valid,59756
785,invalid,60239
786,invalid,59708
787,invalid,59738
788,valid,59785
789,valid,59739
790,valid,59771
791,valid,59805
792,invalid,59738
793,valid,60689
794,valid,59761
795,valid,59735
796,invalid,59777
797,valid,59768
798,valid,59773
799,invalid,59795
800,invalid,59774
801,invalid,59558
802,invalid,59758
803,invalid,59754
804,invalid,59759
805,invalid,59729
806,valid,59780
807,valid,59750
808,valid,59784
809,invalid,59697
810,valid,59732
811,valid,60945
812,valid,59752
813,invalid,59825
814,valid,59723
815,invalid,59519
816,invalid,59848
817,valid,59998
818,valid,59510
819,valid,59790
820,invalid,59625
821,valid,59793
822,invalid,60718
823,invalid,59806
824,valid,60063
825,invalid,61529
826,invalid,59735
827,valid,59765
828,invalid,59753
829,valid,59776
830,valid,59764
831,valid,59780
832,invalid,59495
833,valid,59817
834,invalid,59786
835,invalid,59730
836,invalid,59759
837,invalid,59766
838,invalid,59758
839,valid,59856
840,valid,59759
841,valid,59806
842,valid,60281
843,valid,59527
844,invalid,59756
845,invalid,59769
846,valid,59779
847,invalid,59793
848,valid,59734
849,invalid,59796
850,invalid,59757
851,invalid,59802
852,valid,61228
853,invalid,59741
854,valid,59826
855,invalid,60153
856,valid,59756
857,invalid,59787
858,valid,59774
859,invalid,59762
860,invalid,59745
861,invalid,59762
862,valid,59878
863,valid,59810
864,valid,59756
865,invalid,59751
866,valid,59810
867,invalid,59726
868,invalid,59559
869,invalid,59524
870,invalid,59902
871,valid,59789
872,invalid,59753
873,valid,59711
874,invalid,59741
875,invalid,59784
876,valid,59765
877,valid,59974
878,valid,60221
879,invalid,59983
880,valid,59778
881,invalid,59806
882,valid,59791
883,invalid,59931
884,valid,59821
885,invalid,59840
886,valid,59827
887,invalid,59757
888,invalid,59496
889,invalid,59879
890,invalid,60784
891,invalid,60788
892,valid,59840
893,invalid,59493
894,invalid,59789
895,invalid,59739
896,valid,59718
897,invalid,60513
898,invalid,59773
899,invalid,59643
900,valid,59759
901,valid,60447
902,invalid,59815
903,invalid,59759
904,valid,60195
905,valid,60695
906,invalid,59798
907,valid,59789
908,valid,59769
909,invalid,59805
910,invalid,60447
911,valid,59777
912,invalid,59746
913,invalid,59806
914,valid,60579
915,invalid,59754
916,invalid,59767
917,valid,60067
918,valid,59785
919,invalid,59807
920,valid,59737
921,valid,59793
922,valid,59818
923,valid,63194
924,invalid,59566
925,invalid,59501
926,valid,59763
927,invalid,59714
928,invalid,59759
929,invalid,59801
930,valid,59802
931,invalid,59781
932,valid,59760
933,valid,63470
934,invalid,63022
935,valid,60609
936,valid,59784
937,invalid,59834
938,invalid,59900
939,valid,59813
940,valid,59791
941,invalid,59777
942,invalid,59777
943,invalid,59793
944,valid,59770
945,invalid,60897
946,valid,59794
947,invalid,59732
948,valid,59786
949,valid,60344
950,invalid,60119
951,valid,60733
952,invalid,60618
953,valid,59764
954,valid,62199
955,valid,59781
956,invalid,59718
957,valid,59762
958,invalid,60412
959,invalid,59754
960,invalid,60663
961,invalid,59904
962,invalid,59542
963,valid,59900
964,valid,59779
965,valid,60696
966,valid,61755
967,valid,59810
968,invalid,59857
969,valid,59866
970,valid,59835
971,invalid,59814
972,invalid,60568
973,valid,59784
974,invalid,59615
975,invalid,59837
976,invalid,59763
977,valid,59778
978,invalid,59913
979,invalid,59943
980,invalid,59765
981,invalid,59731
982,invalid,60460
983,valid,59895
984,valid,59784
985,invalid,59819
986,valid,59847
987,valid,59810
988,valid,59798
989,valid,59897
990,invalid,59777
991,invalid,59794
992,invalid,60064
993,invalid,59759
994,valid,59755
995,valid,60691
996,invalid,59818
997,valid,59824
998,invalid,59773
999,invalid,59810
1000,valid,59853
1001,valid,59748
1002,valid,60318
1003,valid,62618
1004,valid,60791
1005,valid,59853
1006,valid,59778
1007,invalid,59839
1008,valid,61027
1009,invalid,59776
1010,invalid,59925
1011,invalid,61068
1012,invalid,59876
1013,valid,60089
1014,valid,60960
1015,valid,63111
1016,invalid,59781
1017,valid,59783
1018,valid,59799
1019,valid,59841
1020,invalid,59805
1021,invalid,59808
1022,valid,59738
1023,invalid,59790
1024,valid,59817
1025,valid,60727
1026,valid,59742
1027,invalid,60012
1028,invalid,59760
1029,valid,59753
1030,valid,60046
1031,valid,59764
1032,valid,60157
1033,invalid,59900
1034,valid,59820
1035,valid,59766
1036,invalid,59653
1037,valid,59905
1038,invalid,60880
