idx,kind,cycles
573,invalid,64320
574,valid,64263
575,invalid,64274
576,valid,64258
577,invalid,64250
578,valid,64280
579,invalid,64208
580,valid,64246
581,invalid,64273
582,valid,64224
583,invalid,64225
584,valid,64211
585,invalid,64253
586,valid,64247
587,invalid,64232
588,valid,64225
589,invalid,64233
590,valid,64254
591,invalid,64279
592,valid,64243
593,invalid,64254
594,valid,64219
595,invalid,64297
596,valid,64277
597,invalid,64292
598,valid,66012
599,invalid,64315
600,valid,64296
601,invalid,64299
602,valid,64201
603,invalid,64274
604,valid,64213
605,invalid,64355
606,valid,64190
607,invalid,64238
608,valid,64230
609,invalid,64316
610,valid,64250
611,invalid,64314
612,valid,65605
613,invalid,64300
614,valid,64490
615,invalid,64268
616,valid,65244
617,invalid,64250
618,valid,64841
619,invalid,65463
620,valid,66030
621,invalid,64298
622,valid,64778
623,invalid,64288
624,valid,64215
625,invalid,64313
626,valid,64276
627,invalid,64299
628,valid,64268
629,invalid,64324
630,valid,64261
631,invalid,64288
632,valid,64459
633,invalid,64261
634,valid,64469
635,invalid,64273
636,valid,64250
637,invalid,64272
638,valid,64290
639,invalid,64374
640,valid,64314
641,invalid,64358
642,valid,64262
643,invalid,64281
644,valid,64342
645,invalid,64303
646,valid,64477
647,invalid,64234
648,valid,64280
649,invalid,64302
650,valid,64293
651,invalid,64380
652,valid,64273
653,invalid,64216
654,valid,64281
655,invalid,64246
656,valid,64268
657,invalid,64315
658,valid,64229
659,invalid,64262
660,valid,64329
661,invalid,64332
662,valid,64271
663,invalid,64259
664,valid,64232
665,invalid,64237
666,valid,64234
667,invalid,64299
668,valid,64436
669,invalid,64277
670,valid,64209
671,invalid,64303
672,valid,64203
673,invalid,64241
674,valid,64250
675,invalid,64238
676,valid,64227
677,invalid,64334
678,valid,64265
679,invalid,64234
680,valid,64244
681,invalid,64240
682,valid,64258
683,invalid,64328
684,valid,65294
685,invalid,65042
686,valid,64519
687,invalid,64561
688,valid,64318
689,invalid,64192
690,valid,64268
691,invalid,64280
692,valid,64186
693,invalid,64253
694,valid,64209
695,invalid,64334
696,valid,64267
697,invalid,64336
698,valid,64253
699,invalid,64288
700,valid,64232
701,invalid,64289
702,valid,64263
703,invalid,64263
704,valid,64263
705,invalid,64261
706,valid,64243
707,invalid,64218
708,valid,64230
709,invalid,64257
710,valid,64255
711,invalid,64243
712,valid,64259
713,invalid,64247
714,valid,64229
715,invalid,64235
716,valid,64233
717,invalid,64280
718,valid,64262
719,invalid,64224
720,valid,64251
721,invalid,64225
722,valid,64265
723,invalid,64271
724,valid,64278
725,invalid,64298
726,valid,64389
727,invalid,64365
728,valid,64250
729,invalid,64856
730,valid,64227
731,invalid,64266
732,valid,64900
733,invalid,64332
734,valid,64269
735,invalid,64273
736,valid,64207
737,invalid,64320
738,valid,64211
739,invalid,64254
740,valid,64187
741,invalid,64267
742,valid,64232
743,invalid,64232
744,valid,64233
745,invalid,64285
746,valid,64230
747,invalid,64296
748,valid,64275
749,invalid,64273
750,valid,64377
751,invalid,64243
752,valid,64209
753,invalid,64250
754,valid,64220
755,invalid,64277
756,valid,64230
757,invalid,64297
758,valid,64225
759,invalid,64310
760,valid,64248
761,invalid,64280
762,valid,64706
763,invalid,64299
764,valid,64268
765,invalid,64204
766,valid,64263
767,invalid,64197
768,valid,64336
769,invalid,64785
770,valid,64964
771,invalid,64214
772,valid,64251
773,invalid,64236
774,valid,64244
775,invalid,64248
776,valid,64270
777,invalid,64226
778,valid,64233
779,invalid,64276
780,valid,64255
781,invalid,64377
782,valid,64281
783,invalid,64265
784,valid,64278
785,invalid,64240
786,valid,64304
787,invalid,64354
788,valid,64565
789,invalid,64217
790,valid,64248
791,invalid,64235
792,valid,64222
793,invalid,64231
794,valid,64240
795,invalid,64239
796,valid,64271
797,invalid,64266
798,valid,64225
799,invalid,64246
800,valid,66399
801,invalid,64302
802,valid,65277
803,invalid,64486
804,valid,64229
805,invalid,64235
806,valid,64744
807,invalid,64235
808,valid,64232
809,invalid,64374
810,valid,64269
811,invalid,64292
812,valid,65194
813,invalid,64275
814,valid,64446
815,invalid,64196
816,valid,64243
817,invalid,64233
818,valid,64220
819,invalid,64243
820,valid,64277
821,invalid,64232
822,valid,65785
823,invalid,64198
824,valid,64463
825,invalid,64277
826,valid,64246
827,invalid,64273
828,valid,64182
829,invalid,64233
830,valid,64945
831,invalid,64230
832,valid,64160
833,invalid,64236
834,valid,64252
835,invalid,64207
836,valid,64163
837,invalid,64202
838,valid,64177
839,invalid,64221
840,valid,64201
841,invalid,64191
842,valid,64226
843,invalid,64230
844,valid,64156
845,invalid,64192
846,valid,64259
847,invalid,64245
848,valid,64178
849,invalid,64288
850,valid,64228
851,invalid,64210
852,valid,64295
853,invalid,64270
854,valid,64278
855,invalid,64376
856,valid,64237
857,invalid,64212
858,valid,64204
859,invalid,64283
860,valid,64298
861,invalid,64279
862,valid,64323
863,invalid,64261
864,valid,64206
865,invalid,64268
866,valid,64260
867,invalid,64212
868,valid,64848
869,invalid,64223
870,valid,64270
871,invalid,64164
872,valid,64241
873,invalid,64229
874,valid,64283
875,invalid,64193
876,valid,64423
877,invalid,64227
878,valid,64233
879,invalid,64262
880,valid,64347
881,invalid,64142
882,valid,64230
883,invalid,64193
884,valid,64284
885,invalid,64240
886,valid,64259
887,invalid,64273
888,valid,64190
889,invalid,64377
890,valid,64269
891,invalid,64255
892,valid,64234
893,invalid,64212
894,valid,65031
895,invalid,64331
896,valid,64270
897,invalid,64204
898,valid,64338
899,invalid,64294
900,valid,64260
901,invalid,64278
902,valid,64215
903,invalid,64214
904,valid,64412
905,invalid,64196
906,valid,64624
907,invalid,64293
908,valid,64279
909,invalid,64227
910,valid,64259
911,invalid,64249
912,valid,64255
913,invalid,64306
914,valid,64304
915,invalid,64232
916,valid,64243
917,invalid,64295
918,valid,64256
919,invalid,64380
920,valid,64223
921,invalid,64227
922,valid,64202
923,invalid,64207
924,valid,64202
925,invalid,64313
926,valid,64210
927,invalid,64231
928,valid,64237
929,invalid,64232
930,valid,64217
